Year,County,PSI,PSIDescription,Count,Population,ObsRate
2012,Tehama,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 48,301 ",0.00
2013,Tehama,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 48,413 ",0.00
2014,Tehama,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 49,807 ",2.01
2015,Tehama,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 36,662 ",0.00
2005,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 10,730 ",0.00
2006,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 10,964 ",0.00
2007,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 11,018 ",0.00
2008,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 11,094 ",0.00
2009,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 11,212 ",0.00
2010,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 11,321 ",8.83
2011,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 11,284 ",0.00
2012,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 13,009 ",0.00
2013,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 12,954 ",0.00
2014,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 12,540 ",0.00
2015,Trinity,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 10,219 ",0.00
2005,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 274,190 ",0.36
2006,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 279,155 ",1.79
2007,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 284,348 ",3.17
2008,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 289,358 ",1.38
2009,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 294,800 ",1.36
2010,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 299,782 ",0.67
2011,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 304,563 ",0.99
2012,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 294,333 ",2.04
2013,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 297,733 ",1.01
2014,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 312,899 ",0.64
2015,Tulare,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 224,331 ",0.00
2005,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 46,037 ",2.17
2006,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 46,178 ",6.50
2007,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 46,095 ",2.17
2008,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 46,161 ",2.17
2009,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 45,938 ",2.18
2010,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 45,625 ",0.00
2011,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 45,626 ",0.00
2012,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 45,848 ",2.18
2013,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 45,813 ",0.00
2014,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 46,483 ",2.15
2015,Tuolumne,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 34,447 ",0.00
2005,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 579,683 ",1.73
2006,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 584,984 ",1.54
2007,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 588,179 ",1.53
2008,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 594,902 ",1.01
2009,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,8 ," 603,759 ",1.33
2010,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,6 ," 613,523 ",0.98
2011,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,4 ," 621,646 ",0.64
2012,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,10 ," 604,609 ",1.65
2013,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,7 ," 611,966 ",1.14
2014,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,9 ," 627,517 ",1.43
2015,Ventura,21,Retained Surgical Item or Unretrieved Device Fragment,7 ," 462,309 ",1.51
2005,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 138,697 ",3.60
2006,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 141,734 ",1.41
2007,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 145,666 ",0.00
2008,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 148,222 ",0.67
2009,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 150,584 ",0.00
2010,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 152,061 ",0.66
2011,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,2 ," 153,893 ",1.30
2012,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,5 ," 150,107 ",3.33
2013,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 151,676 ",0.00
2014,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 158,797 ",0.00
2015,Yolo,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 115,361 ",0.87
2005,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 46,675 ",2.14
2006,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,3 ," 48,823 ",6.14
2007,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 49,805 ",0.00
2008,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 50,676 ",0.00
2009,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,1 ," 50,775 ",1.97
2010,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 51,396 ",0.00
2011,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 51,791 ",0.00
2012,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 52,301 ",0.00
2013,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 52,770 ",0.00
2014,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 54,942 ",0.00
2015,Yuba,21,Retained Surgical Item or Unretrieved Device Fragment,0 ," 40,517 ",0.00
2005,STATEWIDE,22,Iatrogenic Pneumothorax,"1,621 "," 26,447,738 ",6.13
2006,STATEWIDE,22,Iatrogenic Pneumothorax,"1,570 "," 26,679,904 ",5.88
2007,STATEWIDE,22,Iatrogenic Pneumothorax,"1,626 "," 26,935,981 ",6.04
2008,STATEWIDE,22,Iatrogenic Pneumothorax,"1,582 "," 27,272,108 ",5.80
2009,STATEWIDE,22,Iatrogenic Pneumothorax,"1,510 "," 27,630,961 ",5.46
2010,STATEWIDE,22,Iatrogenic Pneumothorax,"1,578 "," 28,000,782 ",5.64
2011,STATEWIDE,22,Iatrogenic Pneumothorax,"1,441 "," 28,396,854 ",5.07
2012,STATEWIDE,22,Iatrogenic Pneumothorax,"1,420 "," 27,818,703 ",5.10
2013,STATEWIDE,22,Iatrogenic Pneumothorax,"1,252 "," 28,195,720 ",4.44
2014,STATEWIDE,22,Iatrogenic Pneumothorax,"1,208 "," 28,842,368 ",4.19
2015,STATEWIDE,22,Iatrogenic Pneumothorax,860 ," 21,475,301 ",4.00
2005,Alameda,22,Iatrogenic Pneumothorax,77 ," 1,102,068 ",6.99
2006,Alameda,22,Iatrogenic Pneumothorax,77 ," 1,106,823 ",6.96
2007,Alameda,22,Iatrogenic Pneumothorax,77 ," 1,117,973 ",6.89
2008,Alameda,22,Iatrogenic Pneumothorax,70 ," 1,136,417 ",6.16
2009,Alameda,22,Iatrogenic Pneumothorax,68 ," 1,155,287 ",5.89
2010,Alameda,22,Iatrogenic Pneumothorax,66 ," 1,169,910 ",5.64
2011,Alameda,22,Iatrogenic Pneumothorax,54 ," 1,186,810 ",4.55
2012,Alameda,22,Iatrogenic Pneumothorax,58 ," 1,173,980 ",4.94
2013,Alameda,22,Iatrogenic Pneumothorax,45 ," 1,197,759 ",3.76
2014,Alameda,22,Iatrogenic Pneumothorax,56 ," 1,192,027 ",4.70
2015,Alameda,22,Iatrogenic Pneumothorax,37 ," 923,607 ",4.01
2005,Alpine,22,Iatrogenic Pneumothorax,0 , 979 ,0.00
2006,Alpine,22,Iatrogenic Pneumothorax,0 ," 1,001 ",0.00
2007,Alpine,22,Iatrogenic Pneumothorax,0 ," 1,009 ",0.00
2008,Alpine,22,Iatrogenic Pneumothorax,0 , 957 ,0.00
2009,Alpine,22,Iatrogenic Pneumothorax,0 , 947 ,0.00
2010,Alpine,22,Iatrogenic Pneumothorax,0 , 895 ,0.00
2011,Alpine,22,Iatrogenic Pneumothorax,0 , 888 ,0.00
2012,Alpine,22,Iatrogenic Pneumothorax,0 ," 2,975 ",0.00
2013,Alpine,22,Iatrogenic Pneumothorax,0 ," 2,967 ",0.00
2014,Alpine,22,Iatrogenic Pneumothorax,0 ," 2,018 ",0.00
2015,Alpine,22,Iatrogenic Pneumothorax,0 ," 3,000 ",0.00
2005,Amador,22,Iatrogenic Pneumothorax,2 ," 31,101 ",6.43
2006,Amador,22,Iatrogenic Pneumothorax,1 ," 31,460 ",3.18
2007,Amador,22,Iatrogenic Pneumothorax,3 ," 31,883 ",9.41
2008,Amador,22,Iatrogenic Pneumothorax,3 ," 31,619 ",9.49
2009,Amador,22,Iatrogenic Pneumothorax,2 ," 31,769 ",6.30
2010,Amador,22,Iatrogenic Pneumothorax,1 ," 31,720 ",3.15
2011,Amador,22,Iatrogenic Pneumothorax,1 ," 31,760 ",3.15
2012,Amador,22,Iatrogenic Pneumothorax,4 ," 32,614 ",12.26
2013,Amador,22,Iatrogenic Pneumothorax,5 ," 32,252 ",15.50
2014,Amador,22,Iatrogenic Pneumothorax,3 ," 33,224 ",9.03
2015,Amador,22,Iatrogenic Pneumothorax,3 ," 24,635 ",12.18
2005,Butte,22,Iatrogenic Pneumothorax,16 ," 165,310 ",9.68
2006,Butte,22,Iatrogenic Pneumothorax,4 ," 167,351 ",2.39
2007,Butte,22,Iatrogenic Pneumothorax,15 ," 168,208 ",8.92
2008,Butte,22,Iatrogenic Pneumothorax,19 ," 169,793 ",11.19
2009,Butte,22,Iatrogenic Pneumothorax,29 ," 170,726 ",16.99
2010,Butte,22,Iatrogenic Pneumothorax,17 ," 171,576 ",9.91
2011,Butte,22,Iatrogenic Pneumothorax,13 ," 172,643 ",7.53
2012,Butte,22,Iatrogenic Pneumothorax,13 ," 169,573 ",7.67
2013,Butte,22,Iatrogenic Pneumothorax,11 ," 170,817 ",6.44
2014,Butte,22,Iatrogenic Pneumothorax,8 ," 175,975 ",4.55
2015,Butte,22,Iatrogenic Pneumothorax,16 ," 128,928 ",12.41
2005,Calaveras,22,Iatrogenic Pneumothorax,3 ," 35,913 ",8.35
2006,Calaveras,22,Iatrogenic Pneumothorax,2 ," 36,599 ",5.46
2007,Calaveras,22,Iatrogenic Pneumothorax,2 ," 36,944 ",5.41
2008,Calaveras,22,Iatrogenic Pneumothorax,1 ," 37,092 ",2.70
2009,Calaveras,22,Iatrogenic Pneumothorax,3 ," 36,875 ",8.14
2010,Calaveras,22,Iatrogenic Pneumothorax,2 ," 36,801 ",5.43
2011,Calaveras,22,Iatrogenic Pneumothorax,7 ," 36,652 ",19.10
2012,Calaveras,22,Iatrogenic Pneumothorax,4 ," 37,597 ",10.64
2013,Calaveras,22,Iatrogenic Pneumothorax,3 ," 37,646 ",7.97
2014,Calaveras,22,Iatrogenic Pneumothorax,2 ," 38,886 ",5.14
2015,Calaveras,22,Iatrogenic Pneumothorax,4 ," 28,698 ",13.94
2005,Colusa,22,Iatrogenic Pneumothorax,0 ," 14,456 ",0.00
2006,Colusa,22,Iatrogenic Pneumothorax,2 ," 14,677 ",13.63
2007,Colusa,22,Iatrogenic Pneumothorax,2 ," 14,837 ",13.48
2008,Colusa,22,Iatrogenic Pneumothorax,0 ," 14,891 ",0.00
2009,Colusa,22,Iatrogenic Pneumothorax,0 ," 14,960 ",0.00
2010,Colusa,22,Iatrogenic Pneumothorax,2 ," 15,117 ",13.23
2011,Colusa,22,Iatrogenic Pneumothorax,1 ," 15,206 ",6.58
2012,Colusa,22,Iatrogenic Pneumothorax,1 ," 16,676 ",6.00
2013,Colusa,22,Iatrogenic Pneumothorax,1 ," 16,775 ",5.96
2014,Colusa,22,Iatrogenic Pneumothorax,3 ," 16,640 ",18.03
2015,Colusa,22,Iatrogenic Pneumothorax,1 ," 13,258 ",7.54
2005,Contra Costa,22,Iatrogenic Pneumothorax,67 ," 744,835 ",9.00
2006,Contra Costa,22,Iatrogenic Pneumothorax,57 ," 747,747 ",7.62
2007,Contra Costa,22,Iatrogenic Pneumothorax,87 ," 755,752 ",11.51
2008,Contra Costa,22,Iatrogenic Pneumothorax,61 ," 767,612 ",7.95
2009,Contra Costa,22,Iatrogenic Pneumothorax,71 ," 780,970 ",9.09
2010,Contra Costa,22,Iatrogenic Pneumothorax,72 ," 793,960 ",9.07
2011,Contra Costa,22,Iatrogenic Pneumothorax,65 ," 808,054 ",8.04
2012,Contra Costa,22,Iatrogenic Pneumothorax,55 ," 793,369 ",6.93
2013,Contra Costa,22,Iatrogenic Pneumothorax,54 ," 808,882 ",6.68
2014,Contra Costa,22,Iatrogenic Pneumothorax,54 ," 818,959 ",6.59
2015,Contra Costa,22,Iatrogenic Pneumothorax,31 ," 620,275 ",5.00
2005,Del Norte,22,Iatrogenic Pneumothorax,0 ," 22,067 ",0.00
2006,Del Norte,22,Iatrogenic Pneumothorax,3 ," 22,055 ",13.60
2007,Del Norte,22,Iatrogenic Pneumothorax,1 ," 22,315 ",4.48
2008,Del Norte,22,Iatrogenic Pneumothorax,1 ," 22,398 ",4.46
2009,Del Norte,22,Iatrogenic Pneumothorax,2 ," 22,525 ",8.88
2010,Del Norte,22,Iatrogenic Pneumothorax,1 ," 22,507 ",4.44
2011,Del Norte,22,Iatrogenic Pneumothorax,0 ," 22,606 ",0.00
2012,Del Norte,22,Iatrogenic Pneumothorax,0 ," 23,687 ",0.00
2013,Del Norte,22,Iatrogenic Pneumothorax,0 ," 23,420 ",0.00
2014,Del Norte,22,Iatrogenic Pneumothorax,1 ," 23,656 ",4.23
2015,Del Norte,22,Iatrogenic Pneumothorax,0 ," 17,650 ",0.00
2005,El Dorado,22,Iatrogenic Pneumothorax,9 ," 132,739 ",6.78
2006,El Dorado,22,Iatrogenic Pneumothorax,12 ," 134,458 ",8.92
2007,El Dorado,22,Iatrogenic Pneumothorax,16 ," 135,852 ",11.78
2008,El Dorado,22,Iatrogenic Pneumothorax,14 ," 137,534 ",10.18
2009,El Dorado,22,Iatrogenic Pneumothorax,14 ," 139,337 ",10.05
2010,El Dorado,22,Iatrogenic Pneumothorax,9 ," 140,597 ",6.40
2011,El Dorado,22,Iatrogenic Pneumothorax,4 ," 141,461 ",2.83
2012,El Dorado,22,Iatrogenic Pneumothorax,9 ," 139,213 ",6.46
2013,El Dorado,22,Iatrogenic Pneumothorax,9 ," 140,808 ",6.39
2014,El Dorado,22,Iatrogenic Pneumothorax,8 ," 146,643 ",5.46
2015,El Dorado,22,Iatrogenic Pneumothorax,5 ," 106,572 ",4.69
2005,Fresno,22,Iatrogenic Pneumothorax,48 ," 605,300 ",7.93
2006,Fresno,22,Iatrogenic Pneumothorax,37 ," 614,966 ",6.02
2007,Fresno,22,Iatrogenic Pneumothorax,45 ," 624,332 ",7.21
2008,Fresno,22,Iatrogenic Pneumothorax,48 ," 634,600 ",7.56
2009,Fresno,22,Iatrogenic Pneumothorax,42 ," 644,386 ",6.52
2010,Fresno,22,Iatrogenic Pneumothorax,46 ," 654,204 ",7.03
2011,Fresno,22,Iatrogenic Pneumothorax,55 ," 664,750 ",8.27
2012,Fresno,22,Iatrogenic Pneumothorax,51 ," 642,666 ",7.94
2013,Fresno,22,Iatrogenic Pneumothorax,32 ," 650,435 ",4.92
2014,Fresno,22,Iatrogenic Pneumothorax,37 ," 679,486 ",5.45
2015,Fresno,22,Iatrogenic Pneumothorax,22 ," 491,442 ",4.48
2005,Glenn,22,Iatrogenic Pneumothorax,3 ," 19,553 ",15.34
2006,Glenn,22,Iatrogenic Pneumothorax,1 ," 19,729 ",5.07
2007,Glenn,22,Iatrogenic Pneumothorax,0 ," 19,842 ",0.00
2008,Glenn,22,Iatrogenic Pneumothorax,1 ," 20,067 ",4.98
2009,Glenn,22,Iatrogenic Pneumothorax,4 ," 20,155 ",19.85
2010,Glenn,22,Iatrogenic Pneumothorax,1 ," 20,313 ",4.92
2011,Glenn,22,Iatrogenic Pneumothorax,3 ," 20,400 ",14.71
2012,Glenn,22,Iatrogenic Pneumothorax,3 ," 21,643 ",13.86
2013,Glenn,22,Iatrogenic Pneumothorax,1 ," 21,703 ",4.61
2014,Glenn,22,Iatrogenic Pneumothorax,0 ," 21,574 ",0.00
2015,Glenn,22,Iatrogenic Pneumothorax,3 ," 16,846 ",17.81
2005,Humboldt,22,Iatrogenic Pneumothorax,10 ," 102,809 ",9.73
2006,Humboldt,22,Iatrogenic Pneumothorax,4 ," 103,611 ",3.86
2007,Humboldt,22,Iatrogenic Pneumothorax,5 ," 103,821 ",4.82
2008,Humboldt,22,Iatrogenic Pneumothorax,10 ," 104,570 ",9.56
2009,Humboldt,22,Iatrogenic Pneumothorax,4 ," 105,478 ",3.79
2010,Humboldt,22,Iatrogenic Pneumothorax,4 ," 106,717 ",3.75
2011,Humboldt,22,Iatrogenic Pneumothorax,6 ," 107,013 ",5.61
2012,Humboldt,22,Iatrogenic Pneumothorax,4 ," 105,607 ",3.79
2013,Humboldt,22,Iatrogenic Pneumothorax,3 ," 105,726 ",2.84
2014,Humboldt,22,Iatrogenic Pneumothorax,5 ," 108,619 ",4.60
2015,Humboldt,22,Iatrogenic Pneumothorax,4 ," 79,121 ",5.06
2005,Imperial,22,Iatrogenic Pneumothorax,11 ," 109,478 ",10.05
2006,Imperial,22,Iatrogenic Pneumothorax,7 ," 112,879 ",6.20
2007,Imperial,22,Iatrogenic Pneumothorax,7 ," 115,944 ",6.04
2008,Imperial,22,Iatrogenic Pneumothorax,6 ," 118,550 ",5.06
2009,Imperial,22,Iatrogenic Pneumothorax,9 ," 121,552 ",7.40
2010,Imperial,22,Iatrogenic Pneumothorax,5 ," 124,055 ",4.03
2011,Imperial,22,Iatrogenic Pneumothorax,4 ," 125,985 ",3.17
2012,Imperial,22,Iatrogenic Pneumothorax,13 ," 122,385 ",10.62
2013,Imperial,22,Iatrogenic Pneumothorax,8 ," 122,276 ",6.54
2014,Imperial,22,Iatrogenic Pneumothorax,4 ," 130,127 ",3.07
2015,Imperial,22,Iatrogenic Pneumothorax,2 ," 92,754 ",2.16
2005,Inyo,22,Iatrogenic Pneumothorax,1 ," 14,549 ",6.87
2006,Inyo,22,Iatrogenic Pneumothorax,3 ," 14,456 ",20.75
2007,Inyo,22,Iatrogenic Pneumothorax,1 ," 14,505 ",6.89
2008,Inyo,22,Iatrogenic Pneumothorax,0 ," 14,485 ",0.00
2009,Inyo,22,Iatrogenic Pneumothorax,2 ," 14,651 ",13.65
2010,Inyo,22,Iatrogenic Pneumothorax,2 ," 14,670 ",13.63
2011,Inyo,22,Iatrogenic Pneumothorax,0 ," 14,640 ",0.00
2012,Inyo,22,Iatrogenic Pneumothorax,0 ," 16,277 ",0.00
2013,Inyo,22,Iatrogenic Pneumothorax,1 ," 16,250 ",6.15
2014,Inyo,22,Iatrogenic Pneumothorax,0 ," 15,730 ",0.00
2015,Inyo,22,Iatrogenic Pneumothorax,0 ," 12,814 ",0.00
2005,Kern,22,Iatrogenic Pneumothorax,44 ," 526,395 ",8.36
2006,Kern,22,Iatrogenic Pneumothorax,48 ," 544,084 ",8.82
2007,Kern,22,Iatrogenic Pneumothorax,47 ," 557,795 ",8.43
2008,Kern,22,Iatrogenic Pneumothorax,39 ," 568,635 ",6.86
2009,Kern,22,Iatrogenic Pneumothorax,50 ," 578,043 ",8.65
2010,Kern,22,Iatrogenic Pneumothorax,49 ," 587,730 ",8.34
2011,Kern,22,Iatrogenic Pneumothorax,43 ," 597,565 ",7.20
2012,Kern,22,Iatrogenic Pneumothorax,41 ," 576,340 ",7.11
2013,Kern,22,Iatrogenic Pneumothorax,41 ," 583,929 ",7.02
2014,Kern,22,Iatrogenic Pneumothorax,30 ," 622,019 ",4.82
2015,Kern,22,Iatrogenic Pneumothorax,26 ," 441,243 ",5.89
2005,Kings,22,Iatrogenic Pneumothorax,5 ," 104,744 ",4.77
2006,Kings,22,Iatrogenic Pneumothorax,7 ," 106,917 ",6.55
2007,Kings,22,Iatrogenic Pneumothorax,5 ," 108,972 ",4.59
2008,Kings,22,Iatrogenic Pneumothorax,3 ," 110,111 ",2.72
2009,Kings,22,Iatrogenic Pneumothorax,5 ," 109,913 ",4.55
2010,Kings,22,Iatrogenic Pneumothorax,4 ," 110,532 ",3.62
2011,Kings,22,Iatrogenic Pneumothorax,2 ," 111,322 ",1.80
2012,Kings,22,Iatrogenic Pneumothorax,7 ," 107,485 ",6.51
2013,Kings,22,Iatrogenic Pneumothorax,5 ," 107,035 ",4.67
2014,Kings,22,Iatrogenic Pneumothorax,3 ," 114,326 ",2.62
2015,Kings,22,Iatrogenic Pneumothorax,4 ," 78,983 ",5.06
2005,Lake,22,Iatrogenic Pneumothorax,7 ," 49,529 ",14.13
2006,Lake,22,Iatrogenic Pneumothorax,11 ," 49,985 ",22.01
2007,Lake,22,Iatrogenic Pneumothorax,8 ," 50,130 ",15.96
2008,Lake,22,Iatrogenic Pneumothorax,8 ," 50,505 ",15.84
2009,Lake,22,Iatrogenic Pneumothorax,9 ," 50,721 ",17.74
2010,Lake,22,Iatrogenic Pneumothorax,8 ," 51,151 ",15.64
2011,Lake,22,Iatrogenic Pneumothorax,11 ," 51,085 ",21.53
2012,Lake,22,Iatrogenic Pneumothorax,8 ," 51,501 ",15.53
2013,Lake,22,Iatrogenic Pneumothorax,10 ," 51,581 ",19.39
2014,Lake,22,Iatrogenic Pneumothorax,8 ," 52,953 ",15.11
2015,Lake,22,Iatrogenic Pneumothorax,3 ," 39,003 ",7.69
2005,Lassen,22,Iatrogenic Pneumothorax,0 ," 27,722 ",0.00
2006,Lassen,22,Iatrogenic Pneumothorax,1 ," 27,919 ",3.58
2007,Lassen,22,Iatrogenic Pneumothorax,3 ," 29,030 ",10.33
2008,Lassen,22,Iatrogenic Pneumothorax,0 ," 28,658 ",0.00
2009,Lassen,22,Iatrogenic Pneumothorax,1 ," 28,696 ",3.48
2010,Lassen,22,Iatrogenic Pneumothorax,0 ," 28,485 ",0.00
2011,Lassen,22,Iatrogenic Pneumothorax,1 ," 28,179 ",3.55
2012,Lassen,22,Iatrogenic Pneumothorax,3 ," 29,146 ",10.29
2013,Lassen,22,Iatrogenic Pneumothorax,1 ," 27,797 ",3.60
2014,Lassen,22,Iatrogenic Pneumothorax,0 ," 29,236 ",0.00
2015,Lassen,22,Iatrogenic Pneumothorax,1 ," 20,747 ",4.82
2005,Los Angeles,22,Iatrogenic Pneumothorax,328 ," 7,202,516 ",4.55
2006,Los Angeles,22,Iatrogenic Pneumothorax,300 ," 7,208,716 ",4.16
2007,Los Angeles,22,Iatrogenic Pneumothorax,347 ," 7,223,112 ",4.80
2008,Los Angeles,22,Iatrogenic Pneumothorax,289 ," 7,281,072 ",3.97
2009,Los Angeles,22,Iatrogenic Pneumothorax,283 ," 7,353,912 ",3.85
2010,Los Angeles,22,Iatrogenic Pneumothorax,347 ," 7,416,633 ",4.68
2011,Los Angeles,22,Iatrogenic Pneumothorax,287 ," 7,504,083 ",3.82
2012,Los Angeles,22,Iatrogenic Pneumothorax,288 ," 7,317,992 ",3.94
2013,Los Angeles,22,Iatrogenic Pneumothorax,250 ," 7,410,685 ",3.37
2014,Los Angeles,22,Iatrogenic Pneumothorax,241 ," 7,525,122 ",3.20
2015,Los Angeles,22,Iatrogenic Pneumothorax,140 ," 5,622,301 ",2.49
2005,Madera,22,Iatrogenic Pneumothorax,13 ," 100,047 ",12.99
2006,Madera,22,Iatrogenic Pneumothorax,3 ," 102,344 ",2.93
2007,Madera,22,Iatrogenic Pneumothorax,8 ," 104,227 ",7.68
2008,Madera,22,Iatrogenic Pneumothorax,14 ," 105,909 ",13.22
2009,Madera,22,Iatrogenic Pneumothorax,8 ," 106,674 ",7.50
2010,Madera,22,Iatrogenic Pneumothorax,8 ," 108,385 ",7.38
2011,Madera,22,Iatrogenic Pneumothorax,7 ," 109,902 ",6.37
2012,Madera,22,Iatrogenic Pneumothorax,12 ," 106,934 ",11.22
2013,Madera,22,Iatrogenic Pneumothorax,5 ," 107,252 ",4.66
2014,Madera,22,Iatrogenic Pneumothorax,9 ," 113,845 ",7.91
2015,Madera,22,Iatrogenic Pneumothorax,8 ," 81,407 ",9.83
2005,Marin,22,Iatrogenic Pneumothorax,10 ," 194,828 ",5.13
2006,Marin,22,Iatrogenic Pneumothorax,18 ," 194,956 ",9.23
2007,Marin,22,Iatrogenic Pneumothorax,23 ," 196,294 ",11.72
2008,Marin,22,Iatrogenic Pneumothorax,15 ," 197,929 ",7.58
2009,Marin,22,Iatrogenic Pneumothorax,12 ," 199,904 ",6.00
2010,Marin,22,Iatrogenic Pneumothorax,17 ," 201,547 ",8.43
2011,Marin,22,Iatrogenic Pneumothorax,15 ," 203,181 ",7.38
2012,Marin,22,Iatrogenic Pneumothorax,12 ," 200,046 ",6.00
2013,Marin,22,Iatrogenic Pneumothorax,14 ," 202,161 ",6.93
2014,Marin,22,Iatrogenic Pneumothorax,14 ," 201,613 ",6.94
2015,Marin,22,Iatrogenic Pneumothorax,6 ," 152,906 ",3.92
2005,Mariposa,22,Iatrogenic Pneumothorax,1 ," 14,466 ",6.91
2006,Mariposa,22,Iatrogenic Pneumothorax,2 ," 14,728 ",13.58
2007,Mariposa,22,Iatrogenic Pneumothorax,2 ," 14,903 ",13.42
2008,Mariposa,22,Iatrogenic Pneumothorax,2 ," 14,996 ",13.34
2009,Mariposa,22,Iatrogenic Pneumothorax,2 ," 14,925 ",13.40
2010,Mariposa,22,Iatrogenic Pneumothorax,2 ," 15,017 ",13.32
2011,Mariposa,22,Iatrogenic Pneumothorax,0 ," 15,033 ",0.00
2012,Mariposa,22,Iatrogenic Pneumothorax,0 ," 16,563 ",0.00
2013,Mariposa,22,Iatrogenic Pneumothorax,1 ," 16,491 ",6.06
2014,Mariposa,22,Iatrogenic Pneumothorax,1 ," 16,334 ",6.12
2015,Mariposa,22,Iatrogenic Pneumothorax,0 ," 12,911 ",0.00
2005,Mendocino,22,Iatrogenic Pneumothorax,3 ," 67,693 ",4.43
2006,Mendocino,22,Iatrogenic Pneumothorax,7 ," 67,469 ",10.38
2007,Mendocino,22,Iatrogenic Pneumothorax,6 ," 67,582 ",8.88
2008,Mendocino,22,Iatrogenic Pneumothorax,6 ," 68,025 ",8.82
2009,Mendocino,22,Iatrogenic Pneumothorax,11 ," 68,421 ",16.08
2010,Mendocino,22,Iatrogenic Pneumothorax,2 ," 68,517 ",2.92
2011,Mendocino,22,Iatrogenic Pneumothorax,5 ," 68,336 ",7.32
2012,Mendocino,22,Iatrogenic Pneumothorax,8 ," 68,344 ",11.71
